Herstellercode=052;
Geraete ID=02080;
Klassifizierungscode=9;
Rn=01;
Rf=01;
Beginn=15.02.2016 13:32:06;
Ende=16.02.2016 23:59:32;
Hardwareversion=0.0.2016;
Exportbeginn=16.02.2016 00:00:00;
Exportende=16.02.2016 23:59:59;
Exportformat=Fahrzeugeinzeldaten V1.0;

Messung Nr.=121;
Mess Beginn=15.02.2016 13:32:06;
Mess Ende=16.02.2016 23:59:32;
GPS long=8,795198;
GPS lat=51,772411;
GPS Uhrzeit=16.02.2016 20:00:00;
GPS Qualitaet=1;
GPS Satelliten=10;
GPS HDOP=0,9;
Softwareversion=1.92.26.11.2015;


Verkehrsdaten:
Datum	Uhrzeit	V	L	Zeit	FS	Code	Schall	AZ	Sta;
16.02.2016	05:02:36	61	42	65535	1	7	0	2	0;
16.02.2016	05:03:29	79	47	65535	2	7	0	2	0;
16.02.2016	05:03:45	75	50	65535	1	11	0	2	0;
16.02.2016	05:04:47	91	48	65535	1	7	0	2	0;
16.02.2016	05:06:57	80	40	65535	1	7	0	2	0;
16.02.2016	05:07:29	71	50	65535	1	7	0	2	0;
16.02.2016	05:07:36	73	39	65535	1	7	0	2	0;
16.02.2016	05:08:15	63	42	65535	1	7	0	2	0;
16.02.2016	05:08:40	64	42	65535	1	7	0	2	0;
16.02.2016	05:10:05	72	46	65535	1	7	0	2	0;
16.02.2016	05:10:32	61	43	65535	2	7	0	2	0;
16.02.2016	05:10:33	82	40	65535	1	7	0	2	0;
16.02.2016	05:10:43	67	43	65535	1	7	0	2	0;
16.02.2016	05:13:12	66	39	65535	1	7	0	2	0;
16.02.2016	05:13:24	72	42	65535	1	7	0	2	0;
16.02.2016	05:13:27	77	45	65535	2	7	0	2	0;
16.02.2016	05:14:20	62	41	65535	1	7	0	2	0;
16.02.2016	05:15:01	69	44	65535	1	7	0	2	0;
16.02.2016	05:15:27	86	47	65535	1	7	0	2	0;
16.02.2016	05:15:33	69	45	65535	1	7	0	2	0;
16.02.2016	05:15:38	60	41	65535	2	7	0	2	0;
16.02.2016	05:15:50	75	39	65535	1	7	0	2	0;
16.02.2016	05:15:54	70	50	65535	1	7	0	2	0;
16.02.2016	05:16:01	78	39	65535	1	7	0	2	0;
16.02.2016	05:16:12	76	40	65535	1	7	0	2	0;
16.02.2016	05:16:21	68	41	65535	2	7	0	2	0;
16.02.2016	05:16:38	74	47	65535	1	7	0	2	0;
16.02.2016	05:16:39	72	41	65535	1	7	0	2	0;
16.02.2016	05:16:53	98	44	65535	1	7	0	2	0;
16.02.2016	05:17:10	82	44	65535	1	7	0	2	0;
16.02.2016	05:18:02	66	49	65535	1	7	0	2	0;
16.02.2016	05:18:27	67	48	65535	1	7	0	2	0;
16.02.2016	05:18:45	60	42	65535	1	7	0	2	0;
16.02.2016	05:20:06	71	40	65535	1	7	0	2	0;
16.02.2016	05:20:18	70	43	65535	2	7	0	2	0;
16.02.2016	05:20:38	70	47	65535	1	7	0	2	0;
16.02.2016	05:21:12	73	47	65535	1	7	0	2	0;
16.02.2016	05:21:19	77	46	65535	1	7	0	2	0;
16.02.2016	05:21:47	69	55	65535	2	11	0	2	0;
16.02.2016	05:21:50	59	44	65535	1	7	0	2	0;
16.02.2016	05:22:16	78	81	65535	2	3	0	2	0;
16.02.2016	05:22:23	71	41	65535	1	7	0	2	0;
16.02.2016	05:22:28	75	46	65535	1	7	0	2	0;
16.02.2016	05:23:17	82	40	65535	1	7	0	2	0;
16.02.2016	05:23:30	62	46	65535	1	7	0	2	0;
16.02.2016	05:23:41	79	50	65535	2	7	0	2	0;
16.02.2016	05:23:56	67	45	65535	1	7	0	2	0;
16.02.2016	05:24:18	77	50	65535	2	7	0	2	0;
16.02.2016	05:24:30	53	44	65535	1	7	0	2	0;
16.02.2016	05:25:28	61	40	65535	1	7	0	2	0;
16.02.2016	05:25:38	70	44	65535	1	7	0	2	0;
16.02.2016	05:25:56	62	122	65535	2	3	0	3	0;
16.02.2016	05:25:56	93	43	65535	1	7	0	2	0;
16.02.2016	05:26:09	75	43	65535	1	7	0	2	0;
16.02.2016	05:26:34	78	48	65535	1	7	0	2	0;
16.02.2016	05:26:43	79	42	65535	2	7	0	2	0;
16.02.2016	05:26:53	63	46	65535	1	7	0	2	0;
16.02.2016	05:26:58	73	49	65535	1	7	0	2	0;
16.02.2016	05:27:20	79	49	65535	1	7	0	2	0;
16.02.2016	05:28:35	69	95	65535	1	8	0	3	0;
16.02.2016	05:28:59	85	48	65535	1	7	0	2	0;
16.02.2016	05:29:16	75	43	65535	1	7	0	2	0;
16.02.2016	05:30:00	82	46	65535	1	7	0	2	0;
16.02.2016	05:30:07	75	41	65535	1	7	0	2	0;
16.02.2016	05:30:09	73	42	65535	1	7	0	2	0;
16.02.2016	05:31:41	79	41	65535	1	7	0	2	0;
16.02.2016	05:31:43	76	47	65535	1	7	0	2	0;
16.02.2016	05:31:51	72	45	65535	1	7	0	2	0;
16.02.2016	05:32:14	53	41	65535	1	7	0	2	0;
16.02.2016	05:32:25	87	40	65535	1	7	0	2	0;
16.02.2016	05:32:59	79	42	65535	1	7	0	2	0;
16.02.2016	05:33:01	87	49	65535	1	7	0	2	0;
16.02.2016	05:33:18	54	186	65535	2	5	0	3	0;
16.02.2016	05:33:38	80	48	65535	1	7	0	2	0;
16.02.2016	05:34:09	67	43	65535	1	7	0	2	0;
16.02.2016	05:34:18	72	49	65535	2	7	0	2	0;
16.02.2016	05:34:25	72	44	65535	1	7	0	2	0;
16.02.2016	05:34:31	68	38	65535	1	7	0	2	0;
16.02.2016	05:34:53	80	40	65535	1	7	0	2	0;
16.02.2016	05:35:10	73	39	65535	1	7	0	2	0;
16.02.2016	05:35:36	70	43	65535	2	7	0	2	0;
16.02.2016	05:35:50	72	42	65535	1	7	0	2	0;
16.02.2016	05:36:05	78	45	65535	1	7	0	2	0;
16.02.2016	05:36:25	74	50	65535	1	7	0	2	0;
16.02.2016	05:36:31	82	42	65535	1	7	0	2	0;
16.02.2016	05:36:35	80	41	65535	1	7	0	2	0;
16.02.2016	05:36:37	85	42	65535	1	7	0	2	0;
16.02.2016	05:36:52	76	41	65535	1	7	0	2	0;
16.02.2016	05:37:28	75	41	65535	1	7	0	2	0;
16.02.2016	05:37:42	74	40	65535	1	7	0	2	0;
16.02.2016	05:37:50	77	38	65535	1	7	0	2	0;
16.02.2016	05:37:53	70	27	65535	2	250	0	0	0;
16.02.2016	05:37:54	72	47	65535	1	7	0	2	0;
16.02.2016	05:37:59	71	45	65535	1	7	0	2	0;
16.02.2016	05:38:03	76	44	65535	1	7	0	2	0;
16.02.2016	05:38:20	61	47	65535	1	7	0	2	0;
16.02.2016	05:38:24	70	39	65535	1	7	0	2	0;
16.02.2016	05:38:31	75	43	65535	1	7	0	2	0;
16.02.2016	05:38:48	66	50	65535	1	7	0	2	0;
16.02.2016	05:39:02	79	50	65535	2	7	0	2	0;
16.02.2016	05:39:05	73	41	65535	2	7	0	2	0;
16.02.2016	05:39:20	91	48	65535	1	7	0	2	0;
16.02.2016	05:39:36	85	46	65535	1	7	0	2	0;
16.02.2016	05:39:39	77	42	65535	1	7	0	2	0;
16.02.2016	05:39:52	79	46	65535	1	7	0	2	0;
16.02.2016	05:40:18	72	50	65535	1	7	0	2	0;
16.02.2016	05:40:55	81	49	65535	1	7	0	2	0;
16.02.2016	05:41:12	96	41	65535	1	7	0	2	0;
16.02.2016	05:41:20	67	43	65535	1	7	0	2	0;
16.02.2016	05:41:24	74	40	65535	1	7	0	2	0;
16.02.2016	05:41:35	59	43	65535	1	7	0	2	0;
16.02.2016	05:41:51	75	43	65535	1	7	0	2	0;
16.02.2016	05:41:53	73	38	65535	1	7	0	2	0;
16.02.2016	05:42:09	73	39	65535	1	7	0	2	0;
16.02.2016	05:42:33	75	43	65535	1	7	0	2	0;
16.02.2016	05:42:40	72	37	65535	1	7	0	2	0;
16.02.2016	05:42:42	64	44	65535	2	7	0	2	0;
16.02.2016	05:42:55	76	42	65535	1	7	0	2	0;
16.02.2016	05:42:56	74	40	65535	1	7	0	2	0;
16.02.2016	05:42:57	72	47	65535	1	7	0	2	0;
16.02.2016	05:43:24	67	43	65535	2	7	0	2	0;
16.02.2016	05:43:26	80	41	65535	1	7	0	2	0;
16.02.2016	05:43:33	75	46	65535	1	7	0	2	0;
16.02.2016	05:43:35	72	45	65535	1	7	0	2	0;
16.02.2016	05:44:03	61	42	65535	1	7	0	2	0;
16.02.2016	05:44:11	67	41	65535	2	7	0	2	0;
16.02.2016	05:44:15	73	41	65535	2	7	0	2	0;
16.02.2016	05:44:38	86	48	65535	1	7	0	2	0;
16.02.2016	05:45:03	71	41	65535	1	7	0	2	0;
16.02.2016	05:45:09	73	46	65535	2	7	0	2	0;
16.02.2016	05:45:23	74	38	65535	1	7	0	2	0;
16.02.2016	05:45:24	81	45	65535	1	7	0	2	0;
16.02.2016	05:45:43	73	43	65535	1	7	0	2	0;
16.02.2016	05:45:52	86	47	65535	1	7	0	2	0;
16.02.2016	05:46:23	74	45	65535	2	7	0	2	0;
